record_type,cohort,validation,outcome_metric,outcome_formulation,model,base_model,candidate_model,comparison,metric,estimate,ci_lower,ci_upper,bootstrap_se,n_persons,n_train_min,n_train_max,temporal_cutoff,bootstrap_success,bootstrap_attempts,notes
model_metric,HRS,grouped_10fold,persistence,ancova_level,B1,,,,mean_log_predictive_density,-1.2563239601136835,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B1,,,,calibration_intercept,0.0023051016503257,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B1,,,,calibration_slope,0.9853811384825863,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B2,,,,RMSE,0.8696486799444103,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B2,,,,MAE,0.6876296603541305,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B2,,,,predictive_R2,0.2724026565602438,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B2,,,,mean_log_predictive_density,-1.2801829368138744,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B2,,,,calibration_intercept,0.0026568437654123,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B2,,,,calibration_slope,0.9804311383278462,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B3,,,,RMSE,0.8707930922133786,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B3,,,,MAE,0.68966177366552,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B3,,,,predictive_R2,0.2704864363165573,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B3,,,,mean_log_predictive_density,-1.2814202747594838,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,persistence,ancova_level,B3,,,,calibration_intercept,0.0025992170262877,,,,1166,1049,1050,,,,
