record_type,cohort,validation,outcome_metric,outcome_formulation,baseline_scope,model,base_model,candidate_model,comparison,metric,estimate,ci_lower,ci_upper,bootstrap_se,n_persons,ridge_alpha_min,ridge_alpha_median,ridge_alpha_max,temporal_cutoff,bootstrap_success,bootstrap_attempts,notes
comparison,HRS,grouped_10fold,acute,change,current_state,,BASE,R4_acute_residual,R4_acute_residual_minus_BASE,mean_log_predictive_density,0.0025730718210807,-0.0035962589621802,0.0086807069580621,0.0031793970288179,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,current_state,,BASE,R4_persistence_residual,R4_persistence_residual_minus_BASE,RMSE,-0.0005369786355886,-0.002186903803921,0.0010393618563189,0.0008528831802826,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,current_state,,BASE,R4_persistence_residual,R4_persistence_residual_minus_BASE,MAE,-0.0004734630133631,-0.0016972633509411,0.0007452228808324,0.0006448587380245,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,current_state,,BASE,R4_persistence_residual,R4_persistence_residual_minus_BASE,predictive_R2,-0.0009311956670925,-0.0039021478683623,0.0017889381690745,0.0014854275728867,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,current_state,,BASE,R4_persistence_residual,R4_persistence_residual_minus_BASE,mean_log_predictive_density,-0.0006039007479838,-0.0024701911089494,0.0011476347832941,0.0009510008834874,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,current_state,,BASE,R4_joint_residual,R4_joint_residual_minus_BASE,RMSE,0.0014250928268453,-0.003578798571621,0.006433732592515,0.0025265852399492,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,current_state,,BASE,R4_joint_residual,R4_joint_residual_minus_BASE,MAE,0.0006429182071016,-0.0037044755980315,0.0053756479745674,0.0023577643402804,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,current_state,,BASE,R4_joint_residual,R4_joint_residual_minus_BASE,predictive_R2,0.0024686705678272,-0.0061120120018034,0.0109358199459541,0.004398306832738,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,current_state,,BASE,R4_joint_residual,R4_joint_residual_minus_BASE,mean_log_predictive_density,0.0012685435746306,-0.0042794287968557,0.0069787020577328,0.0028733095863865,1166,,,,,500.0,500.0,paired person-cluster bootstrap
model_metric,HRS,grouped_10fold,acute,ancova_level,ancova_current_state,BASE,,,,RMSE,0.9185420021530304,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,ancova_current_state,BASE,,,,MAE,0.741343093669634,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,ancova_current_state,BASE,,,,predictive_R2,0.2588053347842858,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,ancova_current_state,BASE,,,,mean_log_predictive_density,-1.334729655032682,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,ancova_current_state,BASE,,,,calibration_intercept,0.0065369607131861,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,ancova_current_state,BASE,,,,calibration_slope,0.971797553128022,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,ancova_current_state,R1_prior_acute,,,,RMSE,0.9193390650663182,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,ancova_current_state,R1_prior_acute,,,,MAE,0.7422591822980289,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,ancova_current_state,R1_prior_acute,,,,predictive_R2,0.2575184364142304,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,ancova_current_state,R1_prior_acute,,,,mean_log_predictive_density,-1.335634273672783,,,,1166,0.0,0.0,0.0,,,,
